city,category,display_name
札幌市,燃えるゴミ,燃やせるごみ
札幌市,プラスチック,容器包装プラスチック
札幌市,ペットボトル,ペットボトル
札幌市,段ボール,地域の資源集団回収へ
仙台市,燃えるゴミ,家庭ゴミ
仙台市,プラスチック,プラスチック資源
仙台市,ペットボトル,缶・ペットボトル
仙台市,段ボール,紙類
千葉市,燃えるゴミ,可燃ゴミ
千葉市,プラスチック,柔らかいプラスチックは可燃ゴミ・硬いプラスチックは不燃ゴミ
千葉市,ペットボトル,びん・缶・ペットボトル
千葉市,段ボール,古紙・布類
横浜市,燃えるゴミ,燃やすごみ
横浜市,プラスチック,プラスチック資源
横浜市,ペットボトル,缶・びん・ペットボトル
横浜市,段ボール,古紙
川崎市,燃えるゴミ,普通ごみ
川崎市,プラスチック,プラスチック製容器包装
川崎市,ペットボトル,空き缶・ペットボトル
川崎市,段ボール,地域の資源集団回収へ
名古屋市,燃えるゴミ,可燃ゴミ
名古屋市,プラスチック,プラスチック資源
名古屋市,ペットボトル,缶・ペットボトル
名古屋市,段ボール,地域のゴミステーションへ
大阪市,燃えるゴミ,普通ゴミ
大阪市,プラスチック,プラスチック資源
大阪市,ペットボトル,資源ごみ
大阪市,段ボール,古紙・布類
神戸市,燃えるゴミ,燃えるごみ
神戸市,プラスチック,容器包装プラスチック
神戸市,ペットボトル,缶・びん・ペットボトル
神戸市,段ボール,地域の資源集団回収へ
京都市,燃えるゴミ,燃やすごみ
京都市,プラスチック,プラスチック類
京都市,ペットボトル,缶・びん・ペットボトル
京都市,段ボール,雑紙
広島市,燃えるゴミ,可燃ゴミ
広島市,プラスチック,リサイクルプラ（容器包装）・その他のプラ
広島市,ペットボトル,ペットボトル
広島市,段ボール,資源ごみ
福岡市,燃えるゴミ,燃えるごみ
福岡市,プラスチック,燃えるゴミ
福岡市,ペットボトル,空きビン・ペットボトル
福岡市,段ボール,古紙
北九州市,燃えるゴミ,家庭ゴミ
北九州市,プラスチック,プラスチック
北九州市,ペットボトル,ペットボトル
北九州市,段ボール,古紙
新潟市,燃えるゴミ,燃やすゴミ
新潟市,プラスチック,プラマーク容器包装
新潟市,ペットボトル,ペットボトル
新潟市,段ボール,古紙類
浜松市,燃えるゴミ,もえるごみ（可燃）
浜松市,プラスチック,プラスチック製容器包装（プラマークのないものはもえるごみへ）
浜松市,ペットボトル,ペットボトル
浜松市,段ボール,地域の資源物集団回収へ
岡山市,燃えるゴミ,可燃ゴミ
岡山市,プラスチック,プラスチック資源
岡山市,ペットボトル,ペットボトル
岡山市,段ボール,古紙
熊本市,燃えるゴミ,燃やすごみ
熊本市,プラスチック,プラスチック製包装容器
熊本市,ペットボトル,ペットボトル
熊本市,段ボール,紙
鹿児島市,燃えるゴミ,もやせるごみ
鹿児島市,プラスチック,プラスチック容器類（資源物）
鹿児島市,ペットボトル,缶・びん/ペットボトル
鹿児島市,段ボール,古紙・布類（資源物）

